#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl
,,North America,,"33,504,423","+8,089","758,226",+807,"23,176,861","+5,248","9,569,336","21,638",,,,,,North America,,,,
,,Asia,,"24,937,210","+1,190","397,560",+8,"23,447,478","+1,173","1,092,172","21,838",,,,,,Asia,,,,
,,South America,,"17,936,527",+656,"465,612",+19,"16,204,452",+603,"1,266,463","18,928",,,,,,South America,,,,
,,Europe,,"34,030,247",,"811,393",,"23,589,003",,"9,629,851","25,346",,,,,,Europe,,,,
,,Africa,,"3,915,198",,"103,643",,"3,475,121",,"336,434","2,528",,,,,,Africa,,,,
,,Oceania,,"51,161",+9,"1,088",,"34,279",+7,"15,794",6,,,,,,Australia/Oceania,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"114,375,487","+9,944","2,537,537",+834,"89,927,900","+7,031","21,910,050","90,284","14,673",325.5,,,,All,,,,
99,Afghanistan,"55,714",,"2,443 ",,"49,288",,"3,983","1,064","1,410",62,"296,646","7,510","39,501,697 ",Asia,"70916,169133"
100,Luxembourg,"55,313",,637 ,,"51,487",,"3,189",19,"87,429","1,007","2,114,911","3,342,882","632,661 ",Europe,119930
101,Cuba,"49,161",,318 ,,"44,566",,"4,277",59,"4,342",28,"2,374,019","209,681","11,322,041 ",North America,"23035,6045"
102,Uganda,"40,335",,334 ,,"14,616",,"25,385",,864,7,"879,037","18,831","46,680,861 ",Africa,"1,157139,76353"
103,Namibia,"38,642",,420 ,,"36,220",,"2,002",21,"15,030",163,"301,479","117,258","2,571,072 ",Africa,"676,1229"
104,Zimbabwe,"36,058",,"1,463 ",,"32,590",,"2,005",41,"2,403",98,"337,312","22,480","15,005,040 ",Africa,"41610,25644"
105,Cameroon,"35,714",,551 ,,"32,594",,"2,569",53,"1,324",20,"149,000","5,523","26,977,430 ",Africa,"75548,961181"
106,Cyprus,"34,424",,231 ,,"2,057",,"32,136",20,"28,376",190,"1,928,773","1,589,883","1,213,154 ",Asia,"355,2521"
107,Senegal,"34,255",,866 ,,"28,611",,"4,778",50,"2,011",51,"386,644","22,701","17,031,867 ",Africa,"49719,66744"
108,Ivory Coast,"32,631",,192 ,,"31,516",,923,,"1,217",7,"420,582","15,690","26,804,918 ",Africa,"821139,60964"
